,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
0,"@SheilaGreenfiel @ne0liberal @CrazyNormie No. Ecuador recently elected a new President, Guillermo Lasso.",12,0,0,3,0,0
1,(Actualización) Gobierno nacional y gremio de transportistas acuerdan la conformación de una comisión para analizar pedidos ► https://t.co/835WUSgcxY https://t.co/iEqeJROQEC,19,1,0,0,3,1
2,"#Carondelet | Dirigentes de la Federación de Indígenas Evangélicos del Ecuador (Feine), Eustaquio Toala y Marco Murillo, presentaron pedidos al presidente Guillermo Lasso

Vía @rgrvelez https://t.co/fCKxukxFY2",26,0,1,1,9,2
3,"#ATENCIÓN | A 15 días de que Guillermo Lasso llegó a la Presidencia de la República, Cedatos consultó a los ecuatorianos sobre ciertos aspectos y encontró que tiene el 71,4% de aprobación.⁣ (D) https://t.co/dT5xcvdOr6",34,0,1,0,0,0
4,Guillermo Lasso: Detenga la mortalidad materna en Ecuador - ¡Firma la petición! https://t.co/TsNlwb3m7t a través de @ChangeorgLatino,17,1,0,1,0,0
5,"Presidente @LassoGuillermo Detenga la mortalidad materna en Ecuador. 
¡Firma la petición! https://t.co/qYzjTTBNnd

@XimenaGarzon11 @ABorreroVega @maemontanov @BernardaOM @GuadalupeLlori @DerechoSaludAN @SurkunaEc @SendasEcuador @TManabitas @AequitasEc @DesafioDerechos",23,1,0,12,0,0
6,Presidente Guillermo Lasso supera los 70 puntos de aprobación ciudadana https://t.co/FWPmS0Pes5,11,1,0,0,0,0
7,"Guillermo Lasso asistirá esta tarde al partido Ecuador vs. Perú, que se jugará en el estadio Rodrigo Paz (Quito). La asistencia del presidente a este encuentro se da en medio de críticas al gobierno por la grave situación que atraviesan hospitales por la falta de insumos médicos. https://t.co/vt5us6cbgb",48,0,0,0,14,5
8,"El gobierno de #Ecuador, bajo la presidencia de @LassoGuillermo arranca su gestión con 85 representaciones diplomáticas alrededor del mundo, entre embajadas y consulados, y entre países y organismos internacionales, reporta @eluniversocom.

https://t.co/YOfE4Ctg12 https://t.co/474BmptD38",33,1,1,2,0,0
9,"¡Se le viene el mundo encima! Los muchos y arduos retos del banquero Guillermo Lasso en Ecuador

#DesdeDondeSeaTips con el comunicador venezolano, Miguel Ángel Pérez Pirela.

Solo por La iguana TV 🦎 https://t.co/IQY3UYlyfR",33,1,1,0,0,2
10,"¡Se le viene el mundo encima! Los muchos y arduos retos del banquero Guillermo Lasso en Ecuador

#DesdeDondeSeaTips con el comunicador venezolano, Miguel Ángel Pérez Pirela.

Solo por La iguana TV 🦎 https://t.co/jqhzoKILkj",33,1,1,0,1,1
11,#Ecuador Presidente Guillermo Lasso se reunirá con los transportistas - https://t.co/kyp8cRHVkp https://t.co/hDejhHvn3N,12,1,1,0,0,1
12,"A partir de las 11:00, en el Palacio de Carondelet, se instaló la reunión programada entre el presidente Guillermo Lasso, funcionarios de Gobierno y representantes de distintos gremios del transporte terrestre del país, incluyendo dirigentes de servicio urbano de Guayaquil. https://t.co/3MSmcIEji9",41,0,0,0,0,0
13,"Luego de reunión el país quisiera conocer, qué respondió el Presidente de la CNJ Iván Saquicela a pregunta de Guillermo Lasso para que limpie la Justicia de una vez por todas y no haya corrupción? Según dijo @CorteNacional @CJudicaturaEc @SecretariaEc @ComunicacionEc @srradioEc https://t.co/ajZKRuo9N3",43,0,0,5,0,0
14,@Literario26 Muchos ecuatorianos tenemos serias dudas del triunfo de Guillermo Lasso.,11,0,0,1,7,1
15,@daviru3 @LassoGuillermo Si es un vergüenza xfa señor presidente Guillermo Lasso Mendoza medite mucho,14,0,0,2,3,3
16,"@coloramaibc El pueblo de Ecuador quedó impactado por la sorpresa en las elecciones presidenciales del 2021: el banquero de derecha dura Guillermo Lasso, uno de los oligarcas más adinerados y corruptos del país, que se había lanzado sin éxito en dos contiendas anteriores, alcanzó una victoria",46,0,0,1,0,0
17,"Por eso es decidor que la #PrensaBasuraYMentirosa de Ecuador no hable de los planes que Guillermo Lasso tiene para educación ✏️, sino de la maquilladora de su esposa 👠 y sus lotes de Jeans. 🙄
#PobrePais https://t.co/2xaWl4W5Yu",37,1,2,0,1,0
18,"El presidente @LassoGuillermo se someterá a una cirugía en Estados Unidos.

Mira nuestra verificación completa:
https://t.co/Vcjnq6rPg3",16,1,0,1,1,0
19,"OJO CON LILIAN TINTORI
👇👇👇👇👇

Presidente de Ecuador se someterá a operación en EE. UU. https://t.co/IqizN6XSVG",16,1,0,0,0,0
20,SEÑOR PRESIDENTE GUILLERMO LASSO OFC PR RD. 2021 03285 B DE 1 DE JUNIO LE HAGO CONOCER LAS BARBARIDADES QUE COMETE EN LAS CARCELES DEL PAIS. EDMUNDO MONCAYO ESTE NEFASTO PERSONAJE LE ROBA LA PLATA DEL PRESUPUWSTO DE LOS PRESOS...ATIENDA MI SOLICITUD https://t.co/qp6qhrjyQ4,43,1,0,0,0,0
21,Yo no estoy de acuerdo con la herencia que dejó…Lenin Moreno y Guillermo Lasso!! https://t.co/xNtOcMygKH,15,1,0,0,0,0
22,@hum4nper5on @ecuarauz Los mismos FinCEN donde se desvelan los SARS que evidencian la corrupción de Lenin Moreno con Guillermo Lasso. https://t.co/sNzv6DcNEI,21,0,0,2,11,6
23,"Ya nada sorprende de los impolutos periodistas independientes, objetivos, ecuánimes y defensores de la AUTORREGULACIÓN... Por suerte, ellos mismo se encargan de mostrarse como son... #Oquendo #Pauta #LeydeComunicación  https://t.co/dJhSQ4ckkM",29,1,3,0,7,3
24,"#Destacado 📲| Guillermo Lasso tiene un Gobierno lleno de obstáculos que sortear. La salud es uno de los más importantes, más aún con un IESS en ‘terapia intensiva’
👉🏻 https://t.co/IpDDOkW5PO",30,1,1,0,0,0
25,"¡NO TE LO PIERDAS! Las claves del primer discurso de Guillermo Lasso como presidente de Ecuador | 

https://t.co/jKE94v0Otr",18,1,0,0,0,0
26,"@DacervantesP @LassoGuillermo @mariabrownp Estoy Llegando a CREER que me Equivoqué,¡#ElQuePareciaSerNoLoEs!;pensé,Qué;El Sr Guillermo Lasso Mendoza,Preparado Desde la Primera Elección¡Como el Estadista Capas,Que desde su Primer día en Funciones d Presidente,Iba a Actuar Con la Firmeza del PODER en un Presidente Estadista!",40,0,1,3,0,0
