,Horas,No_Vacunacion
0,17,1
1,17,11
2,17,12
3,18,0
4,18,2
5,18,16
6,18,21
7,19,7
8,19,15
9,22,4
10,23,14
11,24,26
12,29,30
13,30,28
14,46,36
15,50,37
16,53,38
17,60,39
18,63,40
19,65,43
20,71,44
21,80,45
22,81,48
23,91,50
24,93,53
25,97,52
26,101,56
27,101,57
28,119,61
29,133,66
30,151,71
31,156,72
32,161,74
33,169,76
34,195,81
35,197,83
36,203,84
37,204,85
38,209,88
39,210,89
40,219,91
41,224,94
42,232,95
43,244,99
44,246,101
45,249,103
46,255,105
47,256,106
48,258,107
49,278,112
50,285,115
51,295,116
52,297,118
53,307,120
54,313,123
55,316,122
56,316,124
57,318,126
58,320,128
59,320,129
60,322,125
61,322,130
62,335,132
63,335,133
64,338,137
65,339,136
66,346,138
67,349,140
68,356,141
69,361,144
70,361,145
71,363,143
72,385,153
73,386,152
74,399,157
75,400,160
76,401,158
77,411,162
78,413,163
79,420,165
80,431,166
81,452,172
82,454,171
83,457,173
84,476,176
85,480,178
86,487,180
87,491,182
88,500,183
89,505,184
90,508,186
91,516,190
92,522,191
93,524,194
94,525,193
95,529,197
96,535,200
97,538,201
98,539,202
99,543,205
100,546,206
101,553,208
102,560,210
103,568,212
104,572,214
105,575,215
106,584,216
107,590,217
108,594,219
109,602,221
110,604,224
111,609,223
112,612,225
113,612,226
114,612,228
115,615,227
116,617,230
117,618,229
118,620,231
119,625,232
120,628,233
121,645,241
122,658,246
123,669,249
124,689,254
125,691,255
126,694,257
127,694,259
128,695,258
129,696,256
130,700,260
131,705,262
132,710,263
133,711,265
134,718,267
135,723,268
136,725,269
137,729,270
138,752,279
139,753,278
140,759,282
141,760,285
142,763,281
143,767,286
144,802,294
145,804,295
146,808,296
147,814,298
148,817,299
149,820,301
150,840,308
151,842,306
152,842,307
153,846,310
154,847,311
155,850,309
156,851,313
157,854,314
158,860,316
159,869,318
160,869,319
161,872,320
162,877,321
163,892,327
164,893,326
165,893,328
166,913,332
167,919,334
168,922,333
169,928,335
170,932,338
171,939,340
172,943,342
173,947,343
174,957,349
175,966,350
176,972,351
177,979,352
178,981,354
179,990,355
180,990,356
181,1004,360
182,1005,361
183,1005,362
184,1036,370
185,1041,372
186,1046,374
187,1060,378
188,1060,380
189,1072,385
190,1080,386
191,1089,390
192,1091,389
193,1101,393
194,1110,395
195,1111,397
196,1117,398
197,1119,400
198,1128,401
199,1135,405
200,1146,409
201,1148,413
202,1150,411
203,1151,412
204,1158,414
205,1158,415
206,1177,422
207,1179,421
208,1203,429
209,1214,433
210,1221,434
211,1224,435
212,1231,436
213,1232,437
214,1239,440
215,1240,438
216,1241,442
217,1247,446
218,1252,447
219,1265,451
220,1269,452
221,1285,456
222,1290,457
223,1293,458
224,1303,461
225,1308,462
226,1316,466
227,1328,468
228,1330,469
229,1335,472
230,1338,474
231,1342,476
232,1343,478
233,1371,486
234,1393,490
235,1396,491
236,1403,494
237,1406,495
238,1409,501
239,1410,496
240,1416,502
241,1422,503
242,1427,505
243,1444,508
244,1446,509
245,1449,510
246,1453,511
247,1461,515
248,1468,517
249,1472,518
250,1486,522
251,1504,526
252,1510,527
253,1515,529
254,1527,532
255,1528,534
256,1535,535
257,1537,536
258,1539,537
259,1554,539
260,1556,540
261,1576,546
262,1586,551
263,1590,553
264,1595,555
265,1597,554
266,1604,557
267,1604,558
268,1607,559
269,1608,560
270,1621,565
271,1626,566
272,1635,568
273,1649,572
274,1652,573
275,1660,577
276,1662,578
277,1666,580
278,1674,581
279,1676,582
280,1678,584
281,1678,585
282,1687,586
283,1690,588
284,1690,590
285,1692,589
286,1713,594
287,1720,595
288,1723,596
289,1731,598
290,1733,599
291,1756,605
292,1762,608
293,1773,610
294,1787,615
295,1787,616
296,1810,622
297,1812,623
298,1820,627
299,1821,626
300,1832,631
301,1838,633
302,1839,632
303,1842,634
304,1861,638
305,1861,639
306,1868,641
307,1880,645
308,1888,646
309,1896,649
310,1911,657
311,1913,656
312,1919,660
313,1927,665
314,1928,662
315,1928,663
316,1929,664
317,1938,667
318,1943,669
319,1948,671
320,1960,675
321,1970,678
322,1976,679
323,1979,680
324,1983,682
325,1989,684
326,2006,689
327,2007,687
328,2015,691
329,2018,692
330,2028,694
331,2034,695
332,2035,697
333,2042,700
334,2046,699
335,2053,702
336,2062,704
337,2064,705
338,2070,706
339,2070,707
340,2077,708
341,2077,710
342,2078,709
343,2085,712
344,2093,718
345,2100,721
346,2101,723
347,2105,725
348,2124,730
349,2135,733
350,2163,740
351,2172,742
352,2177,744
353,2186,748
354,2187,747
355,2196,750
356,2204,751
357,2210,755
358,2217,757
359,2218,758
360,2220,759
361,2224,762
362,2233,763
363,2236,764
364,2241,766
365,2243,767
366,2245,770
367,2248,772
368,2251,771
369,2262,775
370,2266,777
371,2268,778
372,2273,779
373,2282,782
374,2285,785
375,2290,789
376,2293,791
377,2296,790
378,2302,793
